rofile,Weight,Depth,Width,Category
ISMB 100,8.9,100,50,Beam
ISMB 125,13.3,125,70,Beam
ISMB 150,15,150,75,Beam
ISMB 200,24.2,200,100,Beam
ISMB 250,37.3,250,125,Beam
ISMB 300,46,300,140,Beam
ISMB 350,52.4,350,140,Beam
ISMB 400,61.5,400,140,Beam
ISMB 450,72.4,450,150,Beam
ISMB 500,86.9,500,180,Beam
ISMB 550,104,550,190,Beam
ISMB 600,123,600,210,Beam
ISMC 75,7.14,75,40,Channel
ISMC 100,9.56,100,50,Channel
ISMC 125,13.1,125,65,Channel
ISMC 150,16.8,150,75,Channel
ISMC 200,22.3,200,75,Channel
ISMC 250,30.6,250,82,Channel
ISMC 400,50.1,400,100,Channel
ISA 50X50X6,4.5,50,50,Angle
ISA 65X65X6,5.8,65,65,Angle
ISA 65X65X8,7.7,65,65,Angle
ISA 75X75X6,6.8,75,75,Angle
ISA 75X75X8,8.9,75,75,Angle
ISA 90X90X6,8.2,90,90,Angle
ISA 90X90X8,11,90,90,Angle
ISA 90X90X10,13.4,90,90,Angle
ISA 100X100X8,12.1,100,100,Angle
ISA 100X100X10,15,100,100,Angle
ISA 110X110X10,16.5,110,110,Angle
ISA 130X130X10,19.7,130,130,Angle
ISA 150X150X12,27.3,150,150,Angle
5 thk MS Plate,39.25,5,1000,Plate
6 thk MS Plate,47.1,6,1000,Plate
8 thk MS Plate,62.8,8,1000,Plate
10 thk MS Plate,78.5,10,1000,Plate
12 thk MS Plate,94.2,12,1000,Plate
16 thk MS Plate,125.6,16,1000,Plate
20 thk MS Plate,157,20,1000,Plate
25 thk MS Plate,196.3,25,1000,Plate
30 thk MS Plate,235.5,30,1000,Plate
32 thk MS Plate,251.2,32,1000,Plate
36 thk MS Plate,282.6,36,1000,Plate
40 thk MS Plate,314,40,1000,Plate
45 thk MS Plate,353.3,45,1000,Plate
50 thk MS Plate,392.5,50,1000,Plate
56 thk MS Plate,439.6,56,1000,Plate
ISF 50x10,3.9,10,50,Flat
ISF 75x8,4.7,8,75,Flat
ISF 100x6,4.7,6,100,Flat
ISF 150x16,18.8,16,150,Flat
ISA 75X6,3.5,6,75,Angle
6 THK. CHQD. PLT.,52.75,6,1000,Plate
5 THK. CHQD. PLT.,42.35,5,1000,Plate
30 THK.GRATING,34.35,30,1000,Grating
20 SQ. BAR,3.14,20,20,SquareBar
25 NB PIPE (M),2.44,25,25,Pipe
32 NB PIPE (M),3.14,32,32,Pipe
40 NB PIPE (M),4.25,40,40,Pipe
SHS 25.0 x 25.0 x 2.6,1.69,25,25,SHS
SHS 32.0 x 32.0 x 2.6,2.26,32,32,SHS
SHS 49.5 x 49.5 x 2.9,4.07,49.5,49.5,SHS
SHS 63.5 x 63.5 x 3.6,6.51,63.5,63.5,SHS
